               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027478,            0.014402,           0.0042572,             0.96695,              0.9494,             0.97455,              0.7528,            0.022522,           0.0050603,            0.002162,           0.0093733,           0.0093733,           0.0093733
                  36,            0.027209,             0.01313,           0.0032049,             0.91851,             0.95613,             0.96153,             0.74364,            0.023232,           0.0051336,           0.0026174,           0.0093369,           0.0093369,           0.0093369
                  37,            0.026851,            0.014526,           0.0038363,             0.96381,             0.95539,             0.97575,             0.74222,             0.02252,           0.0049158,           0.0023047,           0.0092995,           0.0092995,           0.0092995
                  38,            0.027444,            0.014404,           0.0036371,             0.94946,             0.92253,             0.96966,              0.7236,            0.023052,           0.0048885,           0.0049823,           0.0092611,           0.0092611,           0.0092611
                  39,            0.025629,            0.013174,           0.0029238,             0.94767,             0.94096,              0.9722,             0.76561,            0.020851,           0.0048764,           0.0020104,           0.0092219,           0.0092219,           0.0092219
                  40,            0.025185,            0.013353,           0.0033445,             0.94268,             0.93975,             0.96189,             0.74183,            0.021346,           0.0049721,           0.0025332,           0.0091817,           0.0091817,           0.0091817
                  41,            0.026258,            0.013481,           0.0035142,              0.9679,              0.9615,             0.97574,             0.78273,            0.021169,            0.004539,           0.0022249,           0.0091406,           0.0091406,           0.0091406
                  42,            0.025889,            0.013289,           0.0028005,             0.97507,             0.96825,             0.97459,             0.74928,            0.021938,           0.0047345,           0.0023482,           0.0090986,           0.0090986,           0.0090986
                  43,            0.026229,            0.013942,           0.0033813,             0.97015,             0.95621,             0.97671,              0.7577,            0.021649,           0.0047963,           0.0023828,           0.0090557,           0.0090557,           0.0090557
                  44,            0.026005,             0.01362,           0.0037977,             0.95689,             0.96215,             0.97792,             0.78924,            0.019271,           0.0048249,           0.0018603,           0.0090119,           0.0090119,           0.0090119
                  45,            0.025573,            0.012959,           0.0035413,             0.97877,             0.95521,             0.97628,              0.7625,            0.022164,           0.0047044,           0.0019897,           0.0089673,           0.0089673,           0.0089673
                  46,            0.024863,            0.013376,           0.0035742,             0.97204,             0.96135,             0.97635,             0.78596,            0.021505,            0.004568,           0.0018615,           0.0089218,           0.0089218,           0.0089218
                  47,            0.025689,            0.013335,           0.0030031,             0.97476,             0.95861,             0.97744,             0.78466,            0.020377,           0.0045281,           0.0023648,           0.0088755,           0.0088755,           0.0088755
                  48,            0.024413,            0.012851,           0.0029549,             0.98284,             0.96064,             0.98014,             0.79563,            0.019033,           0.0043484,           0.0021562,           0.0088283,           0.0088283,           0.0088283
                  49,            0.024003,            0.012475,           0.0027531,             0.97821,              0.9699,             0.97791,             0.77154,            0.019011,           0.0047081,            0.002078,           0.0087804,           0.0087804,           0.0087804
