               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11333,            0.030154,            0.040298,           0.0029065,            0.069081,           0.0013311,          0.00024963,             0.10507,            0.022567,             0.04038,             0.00021,             0.00021,             0.09811
                   1,            0.091816,            0.033291,            0.036043,            0.028017,             0.20068,            0.020196,           0.0046164,            0.075564,            0.021759,            0.035282,             0.00043,             0.00043,             0.09613
                   2,            0.077191,            0.032565,            0.034285,             0.19358,             0.37004,             0.18088,            0.058372,            0.062443,            0.019934,            0.031864,             0.00065,             0.00065,             0.09415
                   3,            0.064758,            0.031583,            0.030642,             0.57358,             0.51569,             0.38812,             0.16267,            0.052898,            0.017746,             0.03068,             0.00087,             0.00087,             0.09217
                   4,             0.05625,            0.027787,            0.029213,             0.44532,             0.63867,             0.45953,             0.21836,            0.046162,            0.015314,            0.027283,             0.00109,             0.00109,             0.09019
                   5,            0.051228,            0.026627,            0.028591,              0.5503,             0.55489,             0.49829,              0.2665,            0.044446,            0.013041,            0.023961,             0.00131,             0.00131,             0.08821
                   6,            0.047373,            0.023673,            0.026266,             0.55275,             0.70615,             0.59935,             0.31354,            0.040958,            0.011746,             0.02463,             0.00153,             0.00153,             0.08623
                   7,            0.050065,            0.021583,            0.023891,             0.40372,             0.67764,             0.52597,             0.26345,            0.043838,            0.010767,             0.02461,             0.00175,             0.00175,             0.08425
                   8,            0.050653,            0.020662,            0.024337,              0.4183,             0.66764,             0.51977,             0.26019,            0.044383,           0.0098828,            0.022613,             0.00197,             0.00197,             0.08227
                   9,            0.049113,            0.020102,            0.024236,             0.29728,             0.67381,             0.45327,             0.14753,            0.042247,           0.0094447,            0.019384,             0.00219,             0.00219,             0.08029
                  10,            0.049092,            0.018909,            0.021275,             0.31784,             0.76861,             0.45445,             0.21859,            0.050189,           0.0090352,            0.018097,             0.00241,             0.00241,             0.07831
                  11,              0.0496,            0.019555,            0.020572,             0.48228,             0.64731,             0.60857,             0.25675,            0.043582,           0.0086436,            0.016611,             0.00263,             0.00263,             0.07633
                  12,            0.046532,            0.018592,            0.018055,             0.48719,             0.72135,             0.64068,             0.35641,            0.038284,           0.0083656,            0.016348,             0.00285,             0.00285,             0.07435
                  13,             0.04449,            0.018369,            0.017571,             0.63453,             0.76157,             0.77069,             0.46298,            0.036681,           0.0082684,            0.015472,             0.00307,             0.00307,             0.07237
                  14,            0.042679,            0.016877,            0.016487,             0.61688,             0.83543,             0.79448,             0.47385,            0.034735,           0.0080833,            0.013875,             0.00329,             0.00329,             0.07039
                  15,            0.041562,            0.017564,            0.015308,             0.68708,             0.80146,             0.75748,             0.49467,            0.034129,           0.0077051,            0.011446,             0.00351,             0.00351,             0.06841
                  16,            0.042795,            0.017038,            0.014243,             0.57468,             0.84312,             0.73691,             0.41664,             0.03635,           0.0076811,           0.0096039,             0.00373,             0.00373,             0.06643
                  17,            0.041751,            0.015937,             0.01228,             0.86543,               0.847,             0.90183,             0.61654,            0.030978,           0.0076135,           0.0083121,             0.00395,             0.00395,             0.06445
                  18,            0.040884,            0.016205,            0.011009,             0.77538,             0.81684,             0.84921,             0.45709,            0.037022,           0.0073706,           0.0076363,             0.00417,             0.00417,             0.06247
                  19,            0.041593,            0.015737,           0.0094332,             0.84755,             0.84554,             0.89794,              0.4218,            0.042362,           0.0071587,           0.0071676,             0.00439,             0.00439,             0.06049
                  20,            0.041492,            0.015271,           0.0090519,             0.86474,             0.90275,             0.92926,             0.63091,            0.033554,           0.0072828,           0.0074057,             0.00461,             0.00461,             0.05851
