               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047299,            0.017924,           0.0085131,              0.7004,             0.81756,             0.83542,             0.45985,            0.033354,           0.0090161,           0.0062841,           0.0023993,           0.0023993,            0.076599
                  37,             0.04556,            0.017566,           0.0078586,             0.77671,              0.8258,               0.863,             0.48884,            0.030515,            0.009384,             0.00569,           0.0024542,           0.0024542,            0.075954
                  38,            0.047299,            0.018013,           0.0074645,              0.7469,             0.83946,             0.87291,             0.46362,             0.03097,           0.0093951,           0.0045973,           0.0025083,           0.0025083,            0.075308
                  39,            0.045292,            0.016945,           0.0081741,             0.81259,             0.87724,             0.91377,              0.5684,            0.031169,           0.0084146,           0.0068494,           0.0025617,           0.0025617,            0.074662
                  40,            0.046963,            0.017656,           0.0077416,             0.81253,              0.8058,             0.83626,             0.43397,            0.032038,           0.0087942,           0.0065699,           0.0026142,           0.0026142,            0.074014
                  41,            0.043552,            0.017041,           0.0078055,              0.7909,             0.85095,             0.88399,              0.4781,            0.030745,           0.0090351,           0.0055056,           0.0026659,           0.0026659,            0.073366
                  42,            0.043779,            0.016988,            0.006982,              0.8233,             0.92026,             0.90619,             0.51077,            0.030004,           0.0090092,           0.0065419,           0.0027167,           0.0027167,            0.072717
                  43,            0.045992,            0.016878,           0.0066013,             0.76727,             0.88839,             0.88735,             0.46012,            0.031742,           0.0090959,           0.0069185,           0.0027667,           0.0027667,            0.072067
                  44,            0.043911,            0.017773,           0.0060473,             0.88766,             0.86597,             0.92367,             0.52432,            0.032155,           0.0085305,           0.0038002,           0.0028157,           0.0028157,            0.071416
                  45,            0.046166,            0.017678,           0.0067445,             0.91973,             0.87786,             0.93865,             0.51772,            0.031266,           0.0086827,           0.0039302,           0.0028639,           0.0028639,            0.070764
                  46,            0.045943,             0.01672,           0.0068813,             0.70123,             0.90384,             0.84839,             0.49248,            0.028787,           0.0092654,           0.0047691,           0.0029112,           0.0029112,            0.070111
                  47,            0.043043,            0.016738,           0.0064393,             0.87129,             0.87894,             0.93797,             0.55409,             0.03085,            0.008132,           0.0038556,           0.0029575,           0.0029575,            0.069457
                  48,            0.042871,            0.016222,           0.0065328,             0.90832,             0.87105,             0.94512,              0.5668,            0.027118,           0.0084049,           0.0066433,           0.0030029,           0.0030029,            0.068803
                  49,            0.042779,            0.016485,            0.005482,             0.82072,             0.89756,             0.92037,             0.49019,            0.027655,           0.0091002,           0.0063058,           0.0030473,           0.0030473,            0.068147
                  50,            0.040558,            0.017381,           0.0057468,             0.80679,             0.89606,             0.86873,             0.50222,            0.026859,           0.0082982,           0.0036809,           0.0030908,           0.0030908,            0.067491
                  51,            0.043628,            0.016986,           0.0057123,             0.93549,              0.8759,             0.93604,             0.54711,            0.026973,           0.0083881,           0.0031412,           0.0031333,           0.0031333,            0.066833
                  52,            0.039685,            0.016027,             0.00541,             0.89991,             0.92104,             0.94604,             0.54939,             0.02882,           0.0078388,           0.0033811,           0.0031748,           0.0031748,            0.066175
                  53,            0.040698,            0.016033,           0.0057718,             0.90719,             0.90825,             0.95337,             0.55962,             0.02718,            0.008171,           0.0030584,           0.0032153,           0.0032153,            0.065515
                  54,            0.041344,             0.01645,           0.0048527,             0.87298,             0.92061,             0.95156,             0.59636,            0.024774,           0.0079368,           0.0031759,           0.0032547,           0.0032547,            0.064855
                  55,            0.039073,            0.015663,           0.0051425,             0.94478,             0.85553,             0.94228,             0.60109,            0.023992,           0.0084687,           0.0062312,           0.0032932,           0.0032932,            0.064193
                  56,            0.040532,            0.016177,           0.0053221,             0.92959,             0.89943,             0.95254,             0.63054,            0.024368,           0.0086489,           0.0034526,           0.0033306,           0.0033306,            0.063531
                  57,            0.041074,            0.015916,           0.0051946,             0.85089,             0.88551,             0.94101,             0.56953,             0.02694,           0.0080997,           0.0030541,            0.003367,            0.003367,            0.062867
                  58,            0.039243,            0.016749,           0.0047298,              0.8305,             0.92075,             0.91832,             0.56304,            0.028041,           0.0076631,           0.0025416,           0.0034023,           0.0034023,            0.062202
                  59,            0.039737,            0.016152,            0.005166,             0.96103,             0.93487,             0.97198,             0.64163,            0.022539,            0.007581,             0.00291,           0.0034366,           0.0034366,            0.061537
                  60,            0.041487,            0.015948,           0.0045826,             0.91032,              0.8408,             0.93759,             0.58128,            0.030455,           0.0081585,           0.0038816,           0.0034698,           0.0034698,             0.06087
                  61,            0.038597,            0.016101,           0.0054749,              0.9075,             0.90163,             0.94916,             0.61041,            0.025818,           0.0080971,           0.0040599,           0.0035019,           0.0035019,            0.060202
                  62,            0.040153,            0.015911,           0.0053136,             0.87477,             0.89564,             0.93438,             0.59322,            0.025533,           0.0075672,           0.0027129,           0.0035329,           0.0035329,            0.059533
                  63,            0.036908,             0.01567,           0.0047141,             0.93618,             0.94056,             0.96765,             0.68241,            0.022763,           0.0074047,           0.0028227,           0.0035629,           0.0035629,            0.058863
                  64,             0.03721,            0.015579,            0.005074,             0.89324,             0.95107,              0.9621,             0.59058,             0.02575,           0.0074305,           0.0025754,           0.0035917,           0.0035917,            0.058192
                  65,            0.039287,            0.015944,           0.0047278,             0.85828,             0.93199,              0.9299,              0.6022,             0.02402,           0.0080575,           0.0073472,           0.0036194,           0.0036194,            0.057519
                  66,            0.035431,            0.015532,           0.0046504,             0.92675,             0.94286,              0.9662,             0.63424,            0.022385,           0.0077994,           0.0030064,            0.003646,            0.003646,            0.056846
                  67,            0.035277,            0.015065,           0.0046388,             0.93705,             0.88633,             0.95082,             0.61291,            0.024915,           0.0087615,           0.0068696,           0.0036715,           0.0036715,            0.056172
                  68,            0.038982,            0.015574,           0.0037447,             0.87737,             0.92146,             0.94529,             0.61851,            0.027074,           0.0089817,           0.0072459,           0.0036959,           0.0036959,            0.055496
