               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11121,            0.028973,            0.042884,            0.028411,             0.14118,            0.016581,           0.0029298,            0.082969,            0.018281,            0.032209,             0.00043,             0.00043,             0.09613
                   1,            0.085184,            0.028836,            0.032834,             0.14678,             0.31869,             0.15251,            0.045049,             0.06245,            0.016869,            0.026379,             0.00087,             0.00087,             0.09217
                   2,            0.070292,            0.028962,            0.028922,             0.51279,             0.32695,             0.21907,            0.074817,            0.051864,            0.016627,            0.023962,             0.00131,             0.00131,             0.08821
                   3,            0.061913,            0.026316,            0.026756,             0.35184,             0.58946,             0.35154,             0.10743,            0.047561,            0.012189,            0.021061,             0.00175,             0.00175,             0.08425
                   4,            0.058359,            0.023092,            0.025009,             0.29791,             0.61061,             0.40258,             0.11248,            0.044972,            0.011162,            0.018903,             0.00219,             0.00219,             0.08029
                   5,            0.056334,            0.022335,            0.021734,              0.3334,             0.71485,             0.51085,             0.21444,            0.041983,            0.010021,            0.016082,             0.00263,             0.00263,             0.07633
                   6,            0.055208,            0.021536,            0.020716,             0.39254,             0.63043,             0.47311,             0.18444,             0.05015,           0.0099295,            0.013846,             0.00307,             0.00307,             0.07237
                   7,             0.05363,            0.021222,             0.01793,             0.48872,             0.67457,             0.62863,             0.31389,            0.038667,           0.0089691,            0.012082,             0.00351,             0.00351,             0.06841
                   8,            0.052172,            0.020567,            0.017419,             0.53454,             0.72607,             0.66677,              0.2895,            0.043458,           0.0085267,           0.0095868,             0.00395,             0.00395,             0.06445
                   9,            0.048873,            0.020161,            0.014058,             0.65996,             0.80568,             0.78663,             0.31969,            0.041056,           0.0085632,           0.0067058,             0.00439,             0.00439,             0.06049
                  10,            0.049108,             0.02011,            0.012477,             0.78006,             0.79168,             0.84692,             0.38478,            0.034599,           0.0089486,           0.0067658,             0.00483,             0.00483,             0.05653
                  11,            0.050623,            0.019421,            0.011239,             0.81843,             0.79275,             0.85389,             0.43009,            0.037087,           0.0083889,           0.0054898,             0.00527,             0.00527,             0.05257
