               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10659,            0.032799,            0.039132,           0.0096162,             0.22404,           0.0071446,           0.0013471,            0.088046,            0.020238,            0.035813,             0.00032,             0.00032,             0.09712
                   1,            0.082809,            0.032961,            0.032996,            0.088376,             0.24051,            0.086823,             0.02626,            0.070707,             0.01868,            0.029577,             0.00065,             0.00065,             0.09415
                   2,            0.066416,            0.032263,            0.030042,             0.42566,             0.56326,             0.37181,             0.11958,            0.060888,            0.016641,            0.027822,             0.00098,             0.00098,             0.09118
                   3,            0.056587,            0.029333,            0.026441,             0.50881,             0.61809,             0.47305,               0.194,               0.051,            0.014128,            0.024483,             0.00131,             0.00131,             0.08821
                   4,            0.051997,            0.025893,            0.025212,             0.46556,             0.58122,              0.4958,             0.23592,            0.044615,            0.012107,            0.022589,             0.00164,             0.00164,             0.08524
                   5,            0.053754,            0.023489,            0.023544,             0.31606,             0.56013,             0.37778,             0.12592,            0.046548,            0.010901,            0.020806,             0.00197,             0.00197,             0.08227
                   6,            0.051761,            0.022631,            0.021167,             0.30973,             0.66899,             0.43224,              0.1632,            0.050924,            0.010005,            0.018392,              0.0023,              0.0023,              0.0793
                   7,            0.052538,            0.020816,            0.018824,             0.39484,             0.71947,              0.5614,             0.25848,            0.045823,            0.010325,            0.015549,             0.00263,             0.00263,             0.07633
                   8,            0.049182,            0.020608,            0.017401,             0.55993,             0.65962,             0.65538,             0.39107,            0.045575,           0.0096724,            0.014807,             0.00296,             0.00296,             0.07336
                   9,            0.047536,            0.019252,             0.01629,             0.66812,             0.78178,             0.76745,              0.3941,            0.040132,           0.0084676,            0.012378,             0.00329,             0.00329,             0.07039
                  10,            0.046573,             0.01974,            0.013295,             0.77661,             0.76781,             0.84083,             0.47713,            0.038461,           0.0085924,           0.0094309,             0.00362,             0.00362,             0.06742
                  11,            0.044381,            0.018978,            0.012552,             0.54112,             0.83379,              0.6987,             0.31357,            0.046673,           0.0080642,           0.0087411,             0.00395,             0.00395,             0.06445
                  12,            0.043813,            0.017828,           0.0095052,              0.8768,             0.76871,             0.82641,             0.43871,            0.039454,             0.00812,           0.0081913,             0.00428,             0.00428,             0.06148
                  13,            0.044573,            0.017811,           0.0090543,             0.79474,             0.83542,             0.86777,             0.42785,            0.036994,            0.007587,           0.0067078,             0.00461,             0.00461,             0.05851
                  14,            0.041623,            0.017748,           0.0088032,             0.64843,             0.83681,             0.76517,             0.38349,            0.038682,           0.0073434,           0.0071331,             0.00494,             0.00494,             0.05554
                  15,            0.046857,            0.016875,           0.0078395,             0.60103,             0.81307,             0.79752,             0.46457,            0.039501,           0.0072677,            0.006045,             0.00527,             0.00527,             0.05257
                  16,            0.045266,            0.016847,           0.0074563,             0.73097,             0.76857,             0.83273,             0.49817,            0.035312,           0.0076252,           0.0062683,              0.0056,              0.0056,              0.0496
                  17,            0.043434,            0.017843,           0.0072301,              0.9358,              0.8489,             0.92433,             0.52247,            0.034539,           0.0070437,           0.0057168,             0.00593,             0.00593,             0.04663
                  18,            0.043204,            0.017374,           0.0079525,             0.88104,             0.78861,             0.89595,             0.50883,            0.039665,           0.0071578,           0.0057233,             0.00626,             0.00626,             0.04366
                  19,            0.042211,            0.017079,            0.007392,             0.80119,             0.85111,             0.89017,             0.52383,            0.035044,             0.00702,           0.0057992,             0.00659,             0.00659,             0.04069
                  20,            0.041037,            0.015611,           0.0064934,             0.87551,             0.87346,             0.92081,             0.52416,            0.032798,           0.0072873,           0.0051007,             0.00692,             0.00692,             0.03772
                  21,            0.039664,            0.016353,           0.0064626,             0.81588,             0.87947,             0.88511,             0.57424,             0.03292,           0.0068203,           0.0049035,             0.00725,             0.00725,             0.03475
                  22,            0.039048,            0.016389,           0.0066825,             0.87323,             0.88975,             0.93523,             0.53393,            0.033182,           0.0068843,           0.0054299,             0.00758,             0.00758,             0.03178
                  23,            0.038398,            0.015589,           0.0055801,             0.87005,             0.87804,             0.94729,             0.59463,            0.033777,           0.0070312,            0.004286,             0.00791,             0.00791,             0.02881
                  24,            0.040533,            0.017223,           0.0065141,             0.69633,              0.7742,             0.78783,             0.45396,            0.040661,           0.0079772,           0.0060167,             0.00824,             0.00824,             0.02584
                  25,            0.041513,            0.016881,           0.0056829,             0.86836,             0.72109,             0.84951,             0.50225,             0.03801,           0.0081147,           0.0069288,             0.00857,             0.00857,             0.02287
                  26,            0.040498,            0.016408,           0.0070521,             0.73833,             0.91891,             0.90469,             0.50216,             0.03746,           0.0079392,           0.0046821,              0.0089,              0.0089,              0.0199
                  27,            0.040722,            0.016813,           0.0069805,             0.54489,             0.63789,             0.62283,             0.32757,            0.039617,            0.012056,            0.018339,             0.00923,             0.00923,             0.01693
                  28,            0.038498,            0.018652,            0.010796,             0.54699,             0.41133,             0.42742,             0.20528,            0.044381,            0.012104,            0.014376,             0.00956,             0.00956,             0.01396
                  29,            0.040607,            0.019119,           0.0093995,              0.5139,             0.43268,             0.46471,             0.23659,            0.043869,            0.011188,            0.017875,             0.00989,             0.00989,             0.01099
