               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10159,            0.032192,            0.037753,            0.026447,             0.23025,             0.01638,           0.0031224,            0.076361,            0.021944,             0.03283,             0.00043,             0.00043,             0.09613
                   1,            0.070335,            0.033111,            0.029908,             0.57879,             0.40344,             0.30654,             0.13178,            0.058316,            0.017899,            0.030113,             0.00087,             0.00087,             0.09217
                   2,            0.056789,            0.027368,            0.027785,             0.49749,             0.63312,             0.50641,             0.24509,            0.046174,            0.014165,            0.024879,             0.00131,             0.00131,             0.08821
                   3,             0.05004,            0.024239,            0.024983,             0.31398,             0.43403,             0.34097,            0.081109,            0.053858,             0.01118,            0.021948,             0.00175,             0.00175,             0.08425
                   4,            0.052285,            0.021886,            0.022308,             0.40908,             0.66665,              0.5072,             0.24958,            0.042899,            0.010161,            0.020041,             0.00219,             0.00219,             0.08029
                   5,             0.04791,            0.019876,            0.018782,              0.5433,             0.60347,             0.59996,             0.26158,            0.047635,           0.0089574,            0.015493,             0.00263,             0.00263,             0.07633
                   6,            0.047891,            0.019711,            0.018709,             0.50509,             0.78598,             0.66204,             0.38499,             0.04151,           0.0089716,            0.013135,             0.00307,             0.00307,             0.07237
                   7,            0.044713,            0.018386,            0.015942,             0.61233,             0.82375,             0.76095,              0.4369,            0.041714,           0.0081539,            0.010805,             0.00351,             0.00351,             0.06841
                   8,            0.042439,            0.017653,            0.012577,             0.80302,             0.83792,             0.85697,             0.47641,            0.036352,           0.0074971,           0.0082479,             0.00395,             0.00395,             0.06445
                   9,            0.040541,            0.017202,           0.0093629,              0.7872,             0.86555,              0.8707,             0.52921,            0.033344,           0.0071377,           0.0070246,             0.00439,             0.00439,             0.06049
                  10,            0.040245,             0.01661,           0.0086355,             0.76294,             0.85847,             0.86259,             0.53033,            0.033541,           0.0070252,           0.0069393,             0.00483,             0.00483,             0.05653
                  11,            0.042104,            0.015733,           0.0081299,             0.84567,             0.80652,              0.8909,             0.59715,            0.033626,           0.0071296,           0.0068378,             0.00527,             0.00527,             0.05257
                  12,            0.042402,            0.016378,           0.0074492,              0.8479,             0.90988,             0.92007,             0.44329,            0.038638,           0.0067763,           0.0060866,             0.00571,             0.00571,             0.04861
                  13,            0.041364,            0.015863,           0.0074331,             0.89955,             0.89469,             0.93706,              0.5379,            0.032937,           0.0065015,           0.0062379,             0.00615,             0.00615,             0.04465
                  14,            0.038516,            0.015238,            0.006781,             0.93323,             0.91453,             0.96345,             0.66756,            0.030899,           0.0065552,           0.0051609,             0.00659,             0.00659,             0.04069
                  15,            0.037904,            0.014771,           0.0055362,             0.86893,              0.8879,             0.91426,             0.53425,             0.03293,           0.0064414,           0.0046949,             0.00703,             0.00703,             0.03673
                  16,            0.037015,            0.015142,           0.0065498,             0.82045,             0.90244,             0.91343,             0.55546,             0.03344,           0.0065873,           0.0048293,             0.00747,             0.00747,             0.03277
                  17,             0.03641,            0.015569,           0.0056976,             0.87505,             0.89943,              0.9431,             0.62166,            0.034356,           0.0062726,           0.0045241,             0.00791,             0.00791,             0.02881
                  18,            0.036837,            0.014689,           0.0057188,             0.89565,             0.91242,              0.9414,             0.58443,            0.034984,           0.0066035,           0.0040537,             0.00835,             0.00835,             0.02485
                  19,            0.038451,            0.015007,           0.0057239,             0.94586,             0.90289,             0.95104,             0.57949,            0.036066,           0.0065727,            0.003429,             0.00879,             0.00879,             0.02089
                  20,            0.036784,            0.015404,           0.0056796,             0.82554,              0.9154,             0.91354,             0.60116,             0.03141,           0.0066314,           0.0042014,             0.00923,             0.00923,             0.01693
                  21,             0.03585,            0.015091,           0.0054121,             0.85199,             0.88217,             0.92805,             0.55766,            0.032664,           0.0065783,           0.0035827,             0.00967,             0.00967,             0.01297
                  22,            0.034496,            0.014991,           0.0053957,             0.91771,             0.86934,              0.9276,             0.62135,            0.032514,           0.0067736,           0.0049749,                0.01,                0.01,                0.01
                  23,            0.034409,            0.015608,           0.0056829,              0.8926,             0.91891,             0.93874,             0.61175,            0.030848,           0.0068114,           0.0036704,                0.01,                0.01,                0.01
                  24,            0.034295,            0.014871,           0.0053444,             0.94221,             0.87017,             0.93276,             0.62231,            0.032063,           0.0069783,           0.0035225,                0.01,                0.01,                0.01
                  25,            0.034133,            0.015837,           0.0043422,             0.94433,             0.92767,             0.95442,             0.67684,            0.028784,           0.0065713,           0.0032029,                0.01,                0.01,                0.01
                  26,            0.032449,            0.014837,           0.0043608,              0.9543,             0.92655,             0.96489,             0.62768,            0.028705,           0.0064606,           0.0028366,                0.01,                0.01,                0.01
                  27,            0.033081,            0.016383,           0.0070325,             0.89116,             0.82187,             0.88971,             0.61136,            0.034094,           0.0078184,           0.0069343,                0.01,                0.01,                0.01
                  28,            0.032618,            0.016173,           0.0057156,             0.86764,             0.86889,             0.94235,             0.59782,            0.031294,           0.0073672,            0.003648,                0.01,                0.01,                0.01
                  29,            0.032443,            0.015676,            0.004839,             0.86058,             0.85052,             0.91442,             0.62166,            0.030555,           0.0066767,           0.0063874,                0.01,                0.01,                0.01
                  30,            0.031506,            0.015316,             0.00466,             0.89107,             0.89551,              0.9387,             0.63488,            0.029704,           0.0070508,           0.0031976,                0.01,                0.01,                0.01
                  31,            0.032115,            0.015352,           0.0048581,             0.92726,             0.85477,             0.91965,              0.5606,            0.029832,           0.0078106,           0.0046361,                0.01,                0.01,                0.01
                  32,             0.02993,            0.015545,           0.0042807,             0.92561,              0.9213,             0.95205,             0.68942,            0.025414,           0.0066322,           0.0059941,                0.01,                0.01,                0.01
                  33,            0.029847,            0.015853,           0.0045382,             0.92143,             0.84391,             0.93025,             0.65291,             0.03091,           0.0067703,           0.0052944,                0.01,                0.01,                0.01
                  34,            0.029866,            0.014941,           0.0042577,             0.95406,             0.92579,             0.95426,             0.69461,            0.027829,           0.0061061,           0.0031658,                0.01,                0.01,                0.01
                  35,            0.029039,            0.014111,           0.0044925,             0.96636,             0.93603,             0.95853,             0.73758,            0.023874,           0.0060088,           0.0030039,                0.01,                0.01,                0.01
                  36,            0.027837,             0.01454,           0.0036378,             0.96656,             0.93391,             0.96698,             0.70754,            0.024179,           0.0060079,           0.0044467,                0.01,                0.01,                0.01
                  37,             0.02747,             0.01386,           0.0037156,              0.9499,             0.93839,             0.95577,             0.71477,            0.022955,           0.0063661,            0.004172,                0.01,                0.01,                0.01
                  38,            0.028021,            0.014143,           0.0044384,              0.8648,             0.86048,             0.92357,             0.66009,             0.02505,            0.007365,           0.0068999,                0.01,                0.01,                0.01
                  39,            0.028077,            0.014941,           0.0034342,             0.91551,             0.92184,             0.94364,             0.71159,            0.025279,           0.0061742,           0.0036757,                0.01,                0.01,                0.01
                  40,            0.028019,            0.013226,           0.0033354,             0.98953,             0.92469,             0.97477,             0.73726,            0.026903,           0.0059593,           0.0028479,                0.01,                0.01,                0.01
                  41,            0.026641,            0.013264,            0.003209,             0.95827,             0.91906,             0.94866,             0.71553,            0.024114,           0.0060553,           0.0024991,                0.01,                0.01,                0.01
                  42,            0.026656,            0.014146,           0.0039392,             0.95914,             0.93309,             0.96874,             0.73879,            0.025049,           0.0059016,           0.0028833,                0.01,                0.01,                0.01
                  43,            0.026856,            0.013199,           0.0029717,             0.93239,             0.94725,             0.96446,             0.73024,            0.022321,           0.0057124,           0.0027477,                0.01,                0.01,                0.01
                  44,            0.026867,            0.013805,           0.0032382,             0.98083,             0.92852,             0.97383,             0.75076,            0.022678,           0.0057959,           0.0030648,                0.01,                0.01,                0.01
                  45,            0.027234,            0.013395,           0.0029809,              0.9794,             0.95049,             0.96659,             0.73099,             0.02361,           0.0059454,            0.002297,                0.01,                0.01,                0.01
                  46,            0.026022,            0.013264,           0.0028706,             0.95052,             0.94228,             0.96843,             0.76856,            0.022825,           0.0055621,           0.0035127,                0.01,                0.01,                0.01
                  47,            0.026409,            0.014111,           0.0033384,             0.97556,             0.93571,             0.97614,             0.77324,            0.022526,            0.005475,            0.002539,                0.01,                0.01,                0.01
                  48,            0.024627,            0.012973,           0.0030723,             0.96894,             0.94643,             0.96823,             0.77062,            0.022601,           0.0054124,           0.0022641,                0.01,                0.01,                0.01
                  49,            0.025319,            0.013347,           0.0030815,             0.93628,             0.94679,             0.96693,             0.76061,            0.023965,           0.0052849,           0.0037406,                0.01,                0.01,                0.01
                  50,            0.024147,            0.013158,           0.0030957,             0.96012,              0.9515,             0.96916,              0.7601,            0.022198,           0.0056227,           0.0020424,                0.01,                0.01,                0.01
                  51,            0.024341,            0.012954,           0.0038528,             0.95914,             0.95734,             0.96925,             0.75306,            0.019823,           0.0056471,           0.0019772,                0.01,                0.01,                0.01
                  52,            0.024316,            0.012337,           0.0024819,             0.98314,             0.92769,              0.9705,              0.7514,            0.022226,           0.0055648,           0.0041143,                0.01,                0.01,                0.01
                  53,            0.024754,            0.012434,           0.0028045,             0.97557,             0.94276,             0.97648,             0.73517,            0.022642,           0.0053497,           0.0032003,                0.01,                0.01,                0.01
                  54,            0.024568,            0.012286,           0.0024612,             0.97075,             0.92894,             0.96785,             0.79089,            0.020292,           0.0056132,           0.0022274,                0.01,                0.01,                0.01
                  55,            0.023674,            0.012317,           0.0030008,             0.97916,             0.92712,             0.96912,             0.78077,            0.019471,           0.0055011,           0.0017871,                0.01,                0.01,                0.01
                  56,            0.023855,            0.012367,           0.0029843,             0.98285,             0.94754,             0.97027,              0.7592,            0.021792,           0.0056002,           0.0017274,                0.01,                0.01,                0.01
                  57,            0.024248,             0.01267,           0.0032168,             0.96492,              0.9555,             0.97239,             0.78679,            0.020671,           0.0054023,           0.0019519,                0.01,                0.01,                0.01
                  58,            0.024199,            0.013266,           0.0031448,             0.95919,             0.95263,             0.96515,             0.75048,            0.022943,           0.0056926,           0.0023645,                0.01,                0.01,                0.01
                  59,            0.024654,            0.012835,           0.0026725,             0.97425,             0.92335,              0.9632,             0.77723,            0.021012,           0.0054835,           0.0030851,                0.01,                0.01,                0.01
                  60,            0.023217,            0.012773,           0.0024347,             0.97291,             0.95098,              0.9673,             0.79246,             0.02266,           0.0054049,           0.0018721,                0.01,                0.01,                0.01
                  61,            0.023929,            0.012542,           0.0024626,             0.97863,             0.95251,             0.97624,             0.79192,            0.020443,           0.0051166,           0.0022913,                0.01,                0.01,                0.01
                  62,            0.024519,            0.012539,           0.0031977,             0.96544,             0.96763,             0.97341,             0.77921,            0.021301,           0.0050918,           0.0025776,                0.01,                0.01,                0.01
                  63,            0.023931,            0.012286,            0.002409,             0.98258,             0.96596,             0.98266,             0.79914,            0.018945,           0.0050757,           0.0016316,                0.01,                0.01,                0.01
