               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10808,            0.032379,            0.039954,           0.0094806,             0.09661,           0.0057839,           0.0010635,            0.091079,            0.022262,            0.033894,             0.00032,             0.00032,             0.09712
                   1,            0.079613,            0.033304,            0.033833,             0.17764,              0.3512,             0.15075,            0.043574,            0.061729,             0.02013,            0.028576,             0.00065,             0.00065,             0.09415
                   2,            0.065409,             0.03259,            0.030895,             0.34709,             0.63511,             0.41667,             0.18419,            0.049594,            0.015946,            0.025592,             0.00098,             0.00098,             0.09118
                   3,            0.053992,            0.027185,            0.026979,             0.52106,             0.60377,              0.5201,             0.26179,            0.040606,             0.01247,            0.022643,             0.00131,             0.00131,             0.08821
                   4,            0.047512,            0.024397,            0.026496,             0.55796,             0.67909,              0.6127,             0.32579,            0.035103,            0.010724,            0.020906,             0.00164,             0.00164,             0.08524
                   5,            0.051737,            0.022554,             0.02372,             0.51305,             0.66098,             0.61493,             0.26446,             0.04032,           0.0095878,            0.019074,             0.00197,             0.00197,             0.08227
                   6,            0.049245,            0.020674,            0.023071,             0.35202,             0.71779,             0.48746,             0.20725,             0.03972,           0.0088678,            0.017712,              0.0023,              0.0023,              0.0793
                   7,            0.046985,            0.020466,            0.020912,             0.55595,             0.74148,             0.67398,             0.35526,             0.03359,           0.0083101,            0.014346,             0.00263,             0.00263,             0.07633
                   8,            0.046283,            0.019574,            0.019684,             0.61748,             0.77186,             0.75981,             0.41462,            0.032375,           0.0077596,            0.012724,             0.00296,             0.00296,             0.07336
                   9,            0.044842,            0.018793,            0.017006,             0.47094,             0.82723,             0.71302,             0.33758,              0.0387,           0.0076061,            0.010703,             0.00329,             0.00329,             0.07039
                  10,             0.04233,            0.017971,            0.014571,             0.72505,             0.82802,             0.84548,             0.50701,            0.033135,           0.0074665,           0.0078836,             0.00362,             0.00362,             0.06742
                  11,             0.04216,            0.017809,            0.012048,             0.63864,             0.86925,             0.78936,             0.37916,            0.039033,           0.0068554,           0.0056974,             0.00395,             0.00395,             0.06445
                  12,            0.042808,            0.016954,            0.010669,             0.77891,             0.87919,             0.87234,             0.49073,            0.034122,           0.0065218,           0.0048511,             0.00428,             0.00428,             0.06148
                  13,            0.040752,            0.016065,           0.0087507,             0.74827,             0.91667,             0.87993,             0.48392,            0.032226,           0.0069637,            0.005067,             0.00461,             0.00461,             0.05851
                  14,            0.039995,            0.015576,           0.0073143,             0.78615,             0.90676,             0.89702,             0.57719,            0.030855,            0.006321,            0.004388,             0.00494,             0.00494,             0.05554
                  15,            0.041395,            0.015553,           0.0075087,             0.88278,             0.88841,             0.93255,             0.47417,            0.033767,           0.0062992,           0.0044382,             0.00527,             0.00527,             0.05257
                  16,            0.043471,             0.01672,           0.0076822,             0.93989,             0.90431,             0.95856,             0.61669,            0.031708,           0.0057358,           0.0047574,              0.0056,              0.0056,              0.0496
                  17,            0.041467,            0.015618,           0.0068733,             0.87686,             0.87247,             0.92149,             0.55508,            0.031726,           0.0058743,           0.0050723,             0.00593,             0.00593,             0.04663
                  18,            0.040215,            0.015084,           0.0068877,             0.82464,             0.90921,              0.8709,             0.55986,            0.030559,            0.005772,           0.0043268,             0.00626,             0.00626,             0.04366
                  19,            0.039906,            0.015473,            0.006469,             0.89703,             0.89857,             0.93927,             0.61623,            0.031486,           0.0056223,           0.0046103,             0.00659,             0.00659,             0.04069
