               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10151,            0.032391,            0.038377,            0.015727,             0.22631,            0.010893,           0.0023041,            0.078303,             0.01984,            0.032064,             0.00043,             0.00043,             0.09613
                   1,             0.07584,            0.031645,            0.031912,             0.21007,             0.49836,             0.25222,            0.075586,            0.062247,            0.018045,            0.025124,             0.00087,             0.00087,             0.09217
                   2,            0.058456,            0.029599,            0.025664,             0.54537,             0.65324,              0.5013,              0.2262,             0.04683,            0.014669,            0.021149,             0.00131,             0.00131,             0.08821
                   3,            0.050345,            0.026073,            0.023424,             0.23724,             0.59698,             0.27998,            0.057025,            0.051153,            0.011112,            0.019261,             0.00175,             0.00175,             0.08425
                   4,             0.05289,            0.021739,             0.02238,              0.3886,             0.67979,             0.52198,             0.24973,            0.045097,            0.010885,            0.016552,             0.00219,             0.00219,             0.08029
                   5,            0.050687,            0.021563,            0.018747,             0.43614,             0.65095,             0.57962,             0.27029,            0.041875,           0.0094594,            0.013378,             0.00263,             0.00263,             0.07633
                   6,            0.049637,            0.020289,            0.017267,             0.55602,             0.69757,             0.73196,             0.37028,            0.044418,           0.0091124,            0.010699,             0.00307,             0.00307,             0.07237
                   7,            0.046738,            0.019377,            0.013039,             0.72036,             0.73443,             0.79532,             0.40837,            0.044007,           0.0082941,           0.0078873,             0.00351,             0.00351,             0.06841
                   8,            0.046467,            0.018431,            0.010793,             0.83923,             0.76478,             0.87527,             0.36255,            0.045343,           0.0079768,           0.0063277,             0.00395,             0.00395,             0.06445
                   9,            0.046382,            0.018514,           0.0094242,              0.8751,             0.84509,             0.90639,             0.50804,            0.036491,           0.0075704,           0.0050183,             0.00439,             0.00439,             0.06049
                  10,            0.044635,            0.017512,           0.0085252,             0.87442,              0.8239,             0.91429,              0.5726,            0.033489,           0.0074056,            0.007776,             0.00483,             0.00483,             0.05653
                  11,            0.045933,            0.017247,           0.0086154,             0.74132,             0.87994,             0.86643,             0.48378,            0.036192,           0.0077117,           0.0060572,             0.00527,             0.00527,             0.05257
                  12,            0.043966,            0.017325,           0.0084581,             0.83466,             0.86837,             0.91016,             0.46954,             0.04517,           0.0075677,           0.0057083,             0.00571,             0.00571,             0.04861
                  13,            0.044103,            0.017711,           0.0072218,             0.69107,             0.88754,             0.84814,             0.52256,            0.036918,           0.0069354,           0.0050488,             0.00615,             0.00615,             0.04465
                  14,            0.041771,            0.016944,           0.0061526,             0.81626,             0.89704,             0.89947,             0.52591,            0.035954,            0.007155,            0.004506,             0.00659,             0.00659,             0.04069
                  15,            0.041006,            0.016464,           0.0069339,             0.74726,               0.843,             0.88253,             0.53056,            0.033226,           0.0072089,           0.0077148,             0.00703,             0.00703,             0.03673
                  16,             0.04034,             0.01605,           0.0064487,             0.86934,             0.86742,             0.94084,             0.57836,            0.032449,           0.0071908,           0.0043444,             0.00747,             0.00747,             0.03277
                  17,            0.037365,            0.016164,            0.006402,             0.84286,             0.92628,              0.9378,             0.54591,            0.032695,           0.0069237,           0.0044701,             0.00791,             0.00791,             0.02881
