               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031996,            0.016641,           0.0051541,             0.90309,             0.92246,             0.93601,             0.59432,            0.028627,           0.0071183,           0.0024946,           0.0093733,           0.0093733,           0.0093733
                  36,            0.033048,            0.017276,           0.0054256,             0.91145,             0.86787,             0.92448,             0.57613,            0.027331,           0.0074846,           0.0023011,           0.0093369,           0.0093369,           0.0093369
                  37,            0.033562,            0.016187,           0.0049122,             0.92393,             0.92054,             0.94224,             0.61178,            0.026891,           0.0071588,           0.0020355,           0.0092995,           0.0092995,           0.0092995
                  38,            0.031524,            0.016148,           0.0043546,             0.91676,              0.9313,             0.95286,             0.63085,            0.025518,            0.007126,           0.0020937,           0.0092611,           0.0092611,           0.0092611
                  39,            0.032349,            0.016167,           0.0042048,             0.85736,             0.73274,             0.82143,             0.55279,            0.025732,           0.0069625,            0.011013,           0.0092219,           0.0092219,           0.0092219
                  40,            0.032836,            0.016267,           0.0048909,             0.93756,             0.91004,             0.94341,             0.56697,            0.028288,            0.007022,           0.0032225,           0.0091817,           0.0091817,           0.0091817
                  41,            0.031723,            0.015431,            0.004428,             0.83808,             0.85374,             0.91085,             0.59014,            0.026874,           0.0071148,           0.0055275,           0.0091406,           0.0091406,           0.0091406
                  42,            0.031355,            0.015547,           0.0052776,             0.92907,             0.91949,              0.9489,              0.6205,            0.027012,           0.0069878,           0.0028012,           0.0090986,           0.0090986,           0.0090986
                  43,              0.0313,            0.015923,           0.0047927,             0.95913,             0.90249,             0.94131,             0.64559,            0.024752,           0.0070255,           0.0027208,           0.0090557,           0.0090557,           0.0090557
                  44,            0.030043,             0.01662,           0.0042353,             0.94748,              0.9053,             0.94782,             0.62777,            0.027449,           0.0068193,           0.0022733,           0.0090119,           0.0090119,           0.0090119
                  45,            0.030417,            0.015702,           0.0041128,             0.95416,             0.91622,             0.94709,             0.66891,            0.025796,           0.0068747,           0.0027418,           0.0089673,           0.0089673,           0.0089673
                  46,            0.029342,            0.015919,            0.004947,             0.93594,             0.93389,             0.94673,             0.64753,            0.025641,           0.0066993,           0.0025708,           0.0089218,           0.0089218,           0.0089218
                  47,            0.030499,            0.014999,           0.0041028,             0.94875,             0.91087,              0.9471,             0.64466,            0.025495,            0.006614,           0.0029969,           0.0088755,           0.0088755,           0.0088755
                  48,            0.029494,            0.014518,           0.0035641,              0.9274,             0.93018,             0.95291,             0.67472,            0.023592,           0.0065413,           0.0024473,           0.0088283,           0.0088283,           0.0088283
                  49,            0.028979,            0.015776,           0.0035739,             0.95845,             0.91857,             0.95323,             0.62611,            0.025693,           0.0068047,           0.0026815,           0.0087804,           0.0087804,           0.0087804
                  50,            0.029102,            0.015387,           0.0039563,             0.93893,              0.8908,             0.95168,             0.66138,            0.024211,           0.0068936,           0.0025068,           0.0087316,           0.0087316,           0.0087316
                  51,            0.028637,            0.015075,           0.0039005,             0.95883,             0.90895,             0.94761,             0.67759,            0.023777,           0.0067288,           0.0036793,            0.008682,            0.008682,            0.008682
                  52,            0.028425,            0.015558,            0.004259,             0.97783,             0.91995,             0.95412,              0.6755,            0.024237,            0.006615,            0.003113,           0.0086316,           0.0086316,           0.0086316
